,Unnamed: 0,abstract,date,desk,headline,id,locations,section,snippet,source,subjects,type,url,word_count
89,89,b'Search for 12 jurors and 6 alternates to hear Oklahoma City bombing trial of Terry L Nichols is now in its fifth week; jury selection has offered detailed look at issue that has long concerned legal scholars and professionals: financial burden of jury duty and its effect on makeup of jury that is asked to work for less than Federal minimum wage (M)',1997-10-28,National Desk,"b""Oklahoma Case Highlights How Economic Burden of Jury Duty Affects Panel's Makeup""",nyt://article/b899d8fb-59e2-56d0-9a6d-e1c69f4bd003,['Oklahoma City (Okla)'],U.S.,b'Search for 12 jurors and 6 alternates to hear Oklahoma City bombing trial of Terry L Nichols is now in its fifth week; jury selection has offered detailed look at issue that has long concerned legal scholars and professionals: financial burden of ...',The New York Times,"['Bombs and Explosives', 'Jury System', 'Terrorism']",News,https://www.nytimes.com/1997/10/28/us/oklahoma-case-highlights-how-economic-burden-of-jury-duty-affects-panel-s-makeup.html,1029.0
87,87,"b'British Government, in effort to defuse Arab and African criticism that two Libyans wanted for trial in 1988 bombing of Pan American jetliner over Lockerbie, Scotland, will not get fair trial there, opens Scottish legal system to inspection by three international organizations; extends invitations to UN to appoint team of high-level experts, as well as to Arab League and Organization of African Unity (M)'",1997-10-29,Foreign Desk,b'Britain Opens Trial Process in Libya Case to U.N.',nyt://article/ed822a36-bb59-5bf5-aae5-d24766f86b3c,"['Great Britain', 'Libya']",World,"b'British Government, in effort to defuse Arab and African criticism that two Libyans wanted for trial in 1988 bombing of Pan American jetliner over Lockerbie, Scotland, will not get fair trial there, opens Scottish legal system to inspection by thr...'",The New York Times,"['AIRLINES AND AIRPLANES', 'Bombs and Explosives', 'GREAT BRITAIN-INTERNATIONAL RELATIONS-LIBYA', 'Terrorism']",News,https://www.nytimes.com/1997/10/29/world/britain-opens-trial-process-in-libya-case-to-un.html,477.0
88,88,"b""Editorial urges Clinton Administration to reverse 'dangerous erosion' of international will needed to force Iraq to comply with UN demands to open military bases to inspection by making intensive effort to remind Security Council holdouts of how much they stand to lose if Iraq acquires deliverable biological, chemical or nuclear weapons (S)""",1997-10-29,Editorial Desk,"b""Iraq's Secret Weapons Programs""",nyt://article/6932af88-e1a9-56db-8e48-68733d1d10fa,['Iraq'],Opinion,"b""Editorial urges Clinton Administration to reverse 'dangerous erosion' of international will needed to force Iraq to comply with UN demands to open military bases to inspection by making intensive effort to remind Security Council holdouts of how m...""",The New York Times,"['ATOMIC WEAPONS', 'Biological and Chemical Warfare', 'United States International Relations', 'Terrorism']",Editorial,https://www.nytimes.com/1997/10/29/opinion/iraq-s-secret-weapons-programs.html,287.0
86,86,b'Questioning of prospective jurors in Oklahoma City bombing trial of Terry L Nichols ends as jury pool reaches 71 (S)',1997-10-30,National Desk,b'National News Briefs; Screening of Jury Pool Is Finished in Bomb Case',nyt://article/c05e14e7-0847-55de-a6ba-4a8170278241,['Oklahoma City (Okla)'],U.S.,b'Questioning of prospective jurors in Oklahoma City bombing trial of Terry L Nichols ends as jury pool reaches 71 (S)',The New York Times,"['Bombs and Explosives', 'Terrorism']",News,https://www.nytimes.com/1997/10/30/us/national-news-briefs-screening-of-jury-pool-is-finished-in-bomb-case.html,98.0
85,85,"b'Jury is seated in trial of Terry L Nichols, charged with murder and conspiracy in 1995 bombing of Oklahoma City Federal Building; opening statements will be made on Nov 3 in Denver courtroom of Federal Judge Richard P Matsch (S)'",1997-10-31,National Desk,b'All Jurors Are Seated In Bombing Trial',nyt://article/08061677-2549-5a77-80ad-967fa1de954a,['Oklahoma City (Okla)'],U.S.,"b'Jury is seated in trial of Terry L Nichols, charged with murder and conspiracy in 1995 bombing of Oklahoma City Federal Building; opening statements will be made on Nov 3 in Denver courtroom of Federal Judge Richard P Matsch (S)'",The New York Times,"['Jury System', 'Terrorism']",News,https://www.nytimes.com/1997/10/31/us/all-jurors-are-seated-in-bombing-trial.html,161.0
84,84,"b'Profile of Larry A Mackey, who leads prosecution of accused Oklahoma City bomber Terry L Nichols; he played major, though low-profile role in prosecuting convicted bomber Timothy J McVeigh; photo (M)'",1997-11-02,National Desk,b'Exacting Prosecutor Is Thrust to the Fore in 2d Bombing Trial',nyt://article/725931cf-55c3-555b-9ac3-e04d53769540,['Oklahoma City (Okla)'],U.S.,"b'Profile of Larry A Mackey, who leads prosecution of accused Oklahoma City bomber Terry L Nichols; he played major, though low-profile role in prosecuting convicted bomber Timothy J McVeigh; photo (M)'",The New York Times,"['Bombs and Explosives', 'Biographical Information', 'Terrorism']",News,https://www.nytimes.com/1997/11/02/us/exacting-prosecutor-is-thrust-to-the-fore-in-2d-bombing-trial.html,1092.0
83,83,"b'Over 500 militants jailed for murders, bombings and other terrorist acts have come out of prison in Northern Ireland, trained to lead nonviolent efforts to end political strife; play key role in peace effort; former prisoners, Catholics and Protestants, find common jail experience has enabled them to open tentative channels of communication; map; photos (L)d'",1997-11-02,Foreign Desk,b'Ulster Ex-Militants Press New Cause: Nonviolence',nyt://article/cc4a148e-c5c6-5b58-85f0-a36255ec4943,['Northern Ireland'],World,"b'Over 500 militants jailed for murders, bombings and other terrorist acts have come out of prison in Northern Ireland, trained to lead nonviolent efforts to end political strife; play key role in peace effort; former prisoners, Catholics and Protes...'",The New York Times,"['Bombs and Explosives', 'Terrorism']",News,https://www.nytimes.com/1997/11/02/world/ulster-ex-militants-press-new-cause-nonviolence.html,2136.0
82,82,"b""Closing arguments held in trial of Ramzi Ahmed Yousef and Eyad Ismoil; Asst US Atty David N Kelley, speaking for nearly five hours, asks Federal jury in Manhattan to convict two 'cold-blooded killers' for what Government says were their key roles in bombing of World Trade Center in 1993 (M)""",1997-11-04,Metropolitan Desk,b'Prosecutor Urges Jury to Convict 2 in Trade Center Bombing',nyt://article/965a4bd3-393a-57a6-ac39-3b898d58d280,['New York City'],New York,"b""Closing arguments held in trial of Ramzi Ahmed Yousef and Eyad Ismoil; Asst US Atty David N Kelley, speaking for nearly five hours, asks Federal jury in Manhattan to convict two 'cold-blooded killers' for what Government says were their key roles ...""",The New York Times,"['World Trade Center (NYC)', 'Bombs and Explosives', 'Islam', 'Terrorism']",News,https://www.nytimes.com/1997/11/04/nyregion/prosecutor-urges-jury-to-convict-2-in-trade-center-bombing.html,619.0
81,81,"b""Trial of Terry Lynn Nichols, charged as co-conspirator in Oklahoma City bombing in 1995, begins in Denver; prosecutors charge him with working side-by-side with Timothy J McVeigh to prepare bomb that destroyed Federal building killing 168 people; defense tells jury he had nothing to do with blast, and is victim of friend's deceit and web of misleading circumstantial evidence; photo (M)""",1997-11-04,National Desk,b'2 Sides of Bombing Suspect Are Depicted as Trial Opens',nyt://article/ccb3a1cf-ec05-533a-8d15-6b752948f202,['Oklahoma City (Okla)'],U.S.,"b'Trial of Terry Lynn Nichols, charged as co-conspirator in Oklahoma City bombing in 1995, begins in Denver; prosecutors charge him with working side-by-side with Timothy J McVeigh to prepare bomb that destroyed Federal building killing 168 people; ...'",The New York Times,"['Bombs and Explosives', 'Biographical Information', 'Terrorism']",News,https://www.nytimes.com/1997/11/04/us/2-sides-of-bombing-suspect-are-depicted-as-trial-opens.html,1150.0
80,80,"b'Op-Ed article by Yuval Rabin, son of late Israeli Prime Min Yitzhak Rabin, says Israel has lost its way and that Israelis opposed to bloodshed must keep hope for peace alive, not only in own communities, but also among Palestinians; says Palestinian leader Yasir Arafat should be strengthened, not weakened, since there is no credible alternative to him; says he alone has stature to persuade Palestinians to reject Islamic militancy of Hamas, to root out terrorists and accept far-reaching compromise needed to assure enduring peace; drawing (M)'",1997-11-04,Editorial Desk,"b'If Not Arafat, Who?'",nyt://article/f8daebb6-fb18-59e9-9fff-d4ad74553116,['Israel'],Opinion,"b'Op-Ed article by Yuval Rabin, son of late Israeli Prime Min Yitzhak Rabin, says Israel has lost its way and that Israelis opposed to bloodshed must keep hope for peace alive, not only in own communities, but also among Palestinians; says Palestini...'",The New York Times,"['Palestinians', 'Terrorism', 'Biographical Information']",Op-Ed,https://www.nytimes.com/1997/11/04/opinion/if-not-arafat-who.html,614.0
79,79,"b""Lawyer for Ramzi Ahmed Yousef, man accused of organizing bombing of World Trade Center in 1993, tells jury in Federal Court in Manhattan that although his client is 'an unpopular defendant,' prosecutors had failed to prove his guilt beyond 'a reasonable doubt' (M)""",1997-11-05,Metropolitan Desk,"b'Bomb Defendant May Be Unpopular but Is Not Guilty, Lawyer Says'",nyt://article/563929d1-2ba7-5417-94a6-29a60cccda34,['New York City'],New York,"b""Lawyer for Ramzi Ahmed Yousef, man accused of organizing bombing of World Trade Center in 1993, tells jury in Federal Court in Manhattan that although his client is 'an unpopular defendant,' prosecutors had failed to prove his guilt beyond 'a reas...""",The New York Times,"['World Trade Center (NYC)', 'Bombs and Explosives', 'Islam', 'Terrorism']",News,https://www.nytimes.com/1997/11/05/nyregion/bomb-defendant-may-be-unpopular-but-is-not-guilty-lawyer-says.html,575.0
78,78,"b'Jurors at trial of Terry Nichols hear about Oklahoma City bombing from some who lived through it, and parents of dead children, but stories are much more terse than in earlier trial of Timothy McVeigh; Judge Richard P Matsch had agreed with defense that emotional testimony might sway jurors unfairly, and warns panel to consider only facts; Helena Garrett tells of watching babies being brought out, and losing her son; Susan Gail Hunt identifies 35 HUD employees who died (S)'",1997-11-05,National Desk,"b'At Second Bombing Trial, Stories Are Terse, but Still Powerful'",nyt://article/d504e829-6bf4-5e45-8670-32261bbab863,['Oklahoma City (Okla)'],U.S.,"b'Jurors at trial of Terry Nichols hear about Oklahoma City bombing from some who lived through it, and parents of dead children, but stories are much more terse than in earlier trial of Timothy McVeigh; Judge Richard P Matsch had agreed with defens...'",The New York Times,"['Bombs and Explosives', 'Terrorism']",News,https://www.nytimes.com/1997/11/05/us/at-second-bombing-trial-stories-are-terse-but-still-powerful.html,560.0
77,77,"b'Trial of accused Oklahoma City bomber Terry L Nichols continues, Federal court, Denver; Timothy Patrick Donahue testifies that Nichols told him in late 1994 of need to overthrow Government (M)'",1997-11-06,National Desk,"b""Rancher Tells of Bomb Defendant's Comments""",nyt://article/5119d93a-0a87-533e-80de-dfecb57c472f,['Oklahoma City (Okla)'],U.S.,"b'Trial of accused Oklahoma City bomber Terry L Nichols continues, Federal court, Denver; Timothy Patrick Donahue testifies that Nichols told him in late 1994 of need to overthrow Government (M)'",The New York Times,"['Bombs and Explosives', 'Terrorism']",News,https://www.nytimes.com/1997/11/06/us/rancher-tells-of-bomb-defendant-s-comments.html,440.0
76,76,"b""Two Kansas men who sold fertilizer that prosecutors say was used in bomb that destroyed Oklahoma City Federal Building tell Federal jury they cannot remember either Terry Nichols, who is on trial, or Timothy McVeigh, who has been convicted of crime; buyer called himself Mike Haens, name found on receipt in Nichols' home (S)""",1997-11-07,National Desk,b'Fertilizer Salesmen Are Unable To Remember Bomb Defendant',nyt://article/b84ac45f-a281-5b25-8a4b-67af188eb792,['Oklahoma City (Okla)'],U.S.,"b'Two Kansas men who sold fertilizer that prosecutors say was used in bomb that destroyed Oklahoma City Federal Building tell Federal jury they cannot remember either Terry Nichols, who is on trial, or Timothy McVeigh, who has been convicted of crim...'",The New York Times,"['Bombs and Explosives', 'Fertilizer', 'Terrorism']",News,https://www.nytimes.com/1997/11/07/us/fertilizer-salesmen-are-unable-to-remember-bomb-defendant.html,397.0
75,75,b'Prosecutors in Oklahoma City bombing trial seek to link Terry L Nichols to explosives stolen almost seven months before blast (S)',1997-11-08,National Desk,b'Prosecutors Try To Link Theft With Nichols In Bomb Case',nyt://article/e9abba89-ed85-543c-9598-d5866907d46d,['Oklahoma City (Okla)'],U.S.,b'Prosecutors in Oklahoma City bombing trial seek to link Terry L Nichols to explosives stolen almost seven months before blast (S)',The New York Times,"['Bombs and Explosives', 'Terrorism']",News,https://www.nytimes.com/1997/11/08/us/prosecutors-try-to-link-theft-with-nichols-in-bomb-case.html,351.0
74,74,"b""New York City's Office of Emergency Management begins series of antiterrorist drills that will culminate with full-scale enactment of toxic disaster in TriBeCa section of lower Manhattan (S)""",1997-11-09,Metropolitan Desk,"b""It's Only a Test: City Agencies Practice Responding to Attacks by Terrorists""",nyt://article/de97b0cc-991f-5fd6-b7ce-a8a13bc6c38c,"['New York City', 'TriBeCa (NYC)']",New York,"b""New York City's Office of Emergency Management begins series of antiterrorist drills that will culminate with full-scale enactment of toxic disaster in TriBeCa section of lower Manhattan (S)""",The New York Times,['Terrorism'],News,https://www.nytimes.com/1997/11/09/nyregion/it-s-only-a-test-city-agencies-practice-responding-to-attacks-by-terrorists.html,681.0
73,73,"b'Turkish Government yields to intense foreign and domestic pressure and releases Esber Yagmurdereli, blind social critic who begain serving 23-year prison term three weeks ago for allegedly supporting terrorism and spreading separatist propaganda (S)'",1997-11-10,Foreign Desk,b'Turk Critical of Ankara Freed 3 Weeks Into a 23-Year Term',nyt://article/38e385c5-938d-5715-b798-80c420bd4ac0,['Turkey'],World,"b'Turkish Government yields to intense foreign and domestic pressure and releases Esber Yagmurdereli, blind social critic who begain serving 23-year prison term three weeks ago for allegedly supporting terrorism and spreading separatist propaganda (...'",The New York Times,"['Political Prisoners', 'Sentences (Criminal)', 'Freedom and Human Rights', 'Terrorism']",News,https://www.nytimes.com/1997/11/10/world/turk-critical-of-ankara-freed-3-weeks-into-a-23-year-term.html,285.0
72,72,"b'Federal Bureau of Investigation and New York City Police and Fire Departments stage mock terrorist chemical attack in TriBeCa section of Manhattan, part of largest terrorism-response drill ever conducted in New York City; exercise is rooted firmly in disturbing reality that as threat of terrorism in American soil increases, large cities must spend more time and more money figuring out how to respond to danger; photo (M)'",1997-11-10,Metropolitan Desk,b'A Lot Like Real Life: Drill Simulates a Nerve Gas Attack',nyt://article/1cfacf1f-322e-5072-829d-999898ff1a4a,['New York City'],New York,"b'Federal Bureau of Investigation and New York City Police and Fire Departments stage mock terrorist chemical attack in TriBeCa section of Manhattan, part of largest terrorism-response drill ever conducted in New York City; exercise is rooted firmly...'",The New York Times,"['Biological and Chemical Warfare', 'Terrorism']",News,https://www.nytimes.com/1997/11/10/nyregion/a-lot-like-real-life-drill-simulates-a-nerve-gas-attack.html,862.0
71,71,"b'Federal Bureau of Investigation ends criminal probe into 1996 crash of Trans World Airlines Flight 800; says it found no evidence of criminal act; James K Kallstrom, who headed investigtion, writes to families of crash victims (M)'",1997-11-13,Metropolitan Desk,"b'F.B.I. Ends Inquiry Of Flight 800, Finds No Sign of a Crime'",nyt://article/c56fcfa5-cbbc-51f0-ad1b-347dfdabb9ec,[],New York,"b'Federal Bureau of Investigation ends criminal probe into 1996 crash of Trans World Airlines Flight 800; says it found no evidence of criminal act; James K Kallstrom, who headed investigtion, writes to families of crash victims (M)'",The New York Times,"['ACCIDENTS AND SAFETY', 'AIRLINES AND AIRPLANES', 'Bombs and Explosives', 'Terrorism']",News,https://www.nytimes.com/1997/11/13/nyregion/fbi-ends-inquiry-of-flight-800-finds-no-sign-of-a-crime.html,1049.0
70,70,"b""Michael J Fortier, key prosecution witness in first Oklahoma City bombing trial, testifies at Terry L Nichols's trial that he and Timothy J McVeigh, the convicted bomber, took him to Arizona storage locker filled with explosives seven months before bombing; photo (S)""",1997-11-13,National Desk,b'Oklahoma Bomb Figure Tells Of Explosives-Laden Locker',nyt://article/c3235f7f-8348-55bc-b94d-f60a0f301c12,['Oklahoma City (Okla)'],U.S.,"b""Michael J Fortier, key prosecution witness in first Oklahoma City bombing trial, testifies at Terry L Nichols's trial that he and Timothy J McVeigh, the convicted bomber, took him to Arizona storage locker filled with explosives seven months befor...""",The New York Times,"['Bombs and Explosives', 'Terrorism']",News,https://www.nytimes.com/1997/11/13/us/oklahoma-bomb-figure-tells-of-explosives-laden-locker.html,392.0
69,69,"b""Gunmen kill four American auditors for Union Texas Petroleum and their Pakistani driver during morning rush hour in Karachi business district in what police call terrorist attack; dead are Americans Ephrahim C Egbu, Joel B Enlow, William L Jennings and Tracy L Ritchie and driver Anwar Mirza; police say attack was probably linked to conviction of Mir Amal Kansi in 1993 murders of two Central Intelligence Agency worker outside CIA's Langley, Va, headquarters; militants vowed reprisals when Kansi was seized in Pakistan in June and taken to United States without hearing; State Department warned Americans in Pakistan to be on alert after verdict; Prime Min Nawaz Sharif expresses condolences; photos (M)""",1997-11-13,Foreign Desk,b'4 Americans Slain in Pakistan; Link to Killing at C.I.A. Is Seen',nyt://article/308e1ca2-7c3c-5be9-a8d9-6865f0892b22,"['LANGLEY (VA)', 'Pakistan']",World,"b'Gunmen kill four American auditors for Union Texas Petroleum and their Pakistani driver during morning rush hour in Karachi business district in what police call terrorist attack; dead are Americans Ephrahim C Egbu, Joel B Enlow, William L Jenning...'",The New York Times,"['Murders and Attempted Murders', 'Terrorism']",News,https://www.nytimes.com/1997/11/13/world/4-americans-slain-in-pakistan-link-to-killing-at-cia-is-seen.html,1209.0
68,68,"b""Federal counterterrorism officials say they have no hard evidence to link killing of four Americans in Karachi to conviction of Mir Amal Kansi, a Pakistani, on charges of murdering two Central Intelligence Agency workers in Virgina; Federal Bureau of Investigation sends team of agents to Karachi to gather evidence, not to conduct full-scale terrorism probe; reportedly is concerned that slayings were aimed at luring agents to Pakistan for attack to avenge Kansi's arrest there by FBI and return to United States without hearing; Kansi's lawyers seek mistrial, holding jurors, who must weigh imposing death sentence, are terrified; judge denies bid; orders jury sequestered to shield them from news of slayings (M)""",1997-11-13,Foreign Desk,b'F.B.I. Men Sent to Karachi To Investigate the Slaying',nyt://article/28b56281-8c9d-56f8-a9cf-58059d644bfa,"['LANGLEY (VA)', 'Karachi (Pakistan)', 'Pakistan']",World,"b'Federal counterterrorism officials say they have no hard evidence to link killing of four Americans in Karachi to conviction of Mir Amal Kansi, a Pakistani, on charges of murdering two Central Intelligence Agency workers in Virgina; Federal Bureau...'",The New York Times,"['Murders and Attempted Murders', 'Capital Punishment', 'Terrorism']",News,https://www.nytimes.com/1997/11/13/world/fbi-men-sent-to-karachi-to-investigate-the-slaying.html,1019.0
67,67,"b""Jury convicts Ramzi Ahmed Yousef of directing and helping carry out 1993 bombing of World Trade Center to punish United States for its support of Israel; also convicts Eyad Ismoil, who drove van that carried bomb into building's garage; bombing caused six deaths, hundreds of injuries and millions of dollars in damage; Federal and city police officials hail blow against terrorism; say probe continues, including search for fugitive believed to have mixed chemicals for bomb; Yousef and Ismoil plan appeals; photos (L)""",1997-11-13,Metropolitan Desk,"b""'MASTERMIND' AND DRIVER FOUND GUILTY IN 1993 PLOT TO BLOW UP TRADE CENTER""",nyt://article/b4eaf20c-2b15-5ba5-bac3-04b15b2931e0,"['New York City', 'Israel']",New York,"b""Jury convicts Ramzi Ahmed Yousef of directing and helping carry out 1993 bombing of World Trade Center to punish United States for its support of Israel; also convicts Eyad Ismoil, who drove van that carried bomb into building's garage; bombing ca...""",The New York Times,"['World Trade Center (NYC)', 'Bombs and Explosives', 'Terrorism', 'Decisions and Verdicts']",News,https://www.nytimes.com/1997/11/13/nyregion/trade-center-verdict-overview-mastermind-driver-found-guilty-1993-plot-blow-up.html,1488.0
